pathway,Level1,Level2,Level3
PWY-7560,Biosynthesis,Secondary Metabolite Biosynthesis,Terpenoid Biosynthesis 
PWY-5097,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis
PWY-841,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Purine Nucleotide Biosynthesis
PWY-3781,Generation of Precursor Metabolite and Energy,Respiration,Aerobic Respiration
PWY0-162,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Pyrimidine Nucleotide Biosynthesis
PWY-6125,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Purine Nucleotide
PWY-7228,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Purine Nucleotide
PWY-7197,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Pyrimidine Nucleotide Biosynthesis
PANTO-PWY,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Vitamin Biosynthesis
ARGSYNBSUB-PWY,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid
PANTOSYN-PWY,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Coenzyme A Biosynthesis
TRNA-CHARGING-PWY,Biosynthesis,Aminoacyl-tRNA Charging,Aminoacyl-tRNA Charging
TCA,Generation of Precursor Metabolite and Energy,TCA cycle,TCA cycle
DTDPRHAMSYN-PWY,Biosynthesis  , Carbohydrate Biosynthesis  , Sugar Biosynthesis  
PWY-5913,Generation of Precursor Metabolite and Energy,TCA cycle,TCA cycle
ANAGLYCOLYSIS-PWY,Generation of Precursor Metabolite and Energy,Glycolysis,Glycolysis
PWY-5695,Degradation/Utilization/Assimilation,Nucleoside and Nucleotide Degradation ,Purine Nucleotide Degradation
PWY-6609,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Purine Nucleotide
PWY-6969,Generation of Precursor Metabolite and Energy,TCA cycle,TCA cycle
PWY-5659,Biosynthesis,Carbohydrate Biosynthesis,Sugar Biosynthesis
PWY-5121,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Polyprenyl Biosynthesis
PWY-7400,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid
ARGSYN-PWY,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid
PWY-6700,Macromolecule Modification,Nucleic Acid Processing,Nucleic Acid Processing
PWY-5189,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Tetrapyrrole Biosynthesis
PWY-5188,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Tetrapyrrole Biosynthesis
COBALSYN-PWY,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Vitamin Biosynthesis
REDCITCYC,Generation of Precursor Metabolite and Energy,TCA cycle,TCA cycle
PWY0-166,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,2'-Deoxyribonucleotide Biosynthesis
PWY-7184,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,2'-Deoxyribonucleotide Biosynthesis
PWY-7196,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Pyrimidine Nucleotide Biosynthesis
PWY-7539,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Vitamin Biosynthesis
PWY-6147,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Vitamin Biosynthesis
PWY-5104,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis
UDPNAGSYN-PWY,Biosynthesis,Carbohydrate Biosynthesis,Sugar Biosynthesis
PWY-5100,Generation of Precursor Metabolite and Energy,Fermentation,Fermentation of Pyruvate
FASYN-ELONG-PWY,Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis
PYRIDNUCSYN-PWY,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,NAD Metabolism
GLYCOGENSYNTH-PWY,Biosynthesis,Carbohydrate Biosynthesis,Glycan Biosynthesis
P42-PWY,Degradation/Utilization/Assimilation,C1 Compound Utilization and Assimilation,CO2 Fixation
PWY-6737,Degradation/Utilization/Assimilation,Carbohydrate Degradation,Polysaccharide Degradation
PWY0-1586,Biosynthesis,Cell Structure Biosynthesis,Cell Wall Biosynthesis
GLYCOCAT-PWY,Degradation/Utilization/Assimilation,Carbohydrate Degradation,Polysaccharide Degradation
PWY-6897,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Vitamin Biosynthesis
PWY-7664,Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis
PWY-5989,Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis
PWY-6282,Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis
PWY0-862,Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis
PWY-7254,Generation of Precursor Metabolite and Energy,TCA cycle,TCA cycle
DENOVOPURINE2-PWY,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Purine Nucleotide Biosynthesis
HEMESYN2-PWY,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Porphyrin Compound Biosynthesis
POLYISOPRENSYN-PWY,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Polyprenyl Biosynthesis
ASPASN-PWY,Biosynthesis,Amino Acid Biosynthesis,Amino Acid Biosynthesis
PWY-5484,Generation of Precursor Metabolite and Energy,Glycolysis,Glycolysis
FAO-PWY,Degradation/Utilization/Assimilation,Fatty Acid and Lipid Degradation,Fatty Acid Degradation
PWY-6269,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Vitamin Biosynthesis
FASYN-INITIAL-PWY,Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis
DAPLYSINESYN-PWY,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis
PWY-5509,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Vitamin Biosynthesis
PWY-6151,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis
PWY-7094,Biosynthesis,Fatty Acid and Lipid Biosynthesis,Fatty Acid Biosynthesis
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,Degradation/Utilization/Assimilation,Aromatic Compound Degradation,Protocatechuate Degradation
PWY-7234,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Purine Nucleotide Biosynthesis
HSERMETANA-PWY,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis
FOLSYN-PWY,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Vitamin Biosynthesis
PWY-7187,Biosynthesis,Nucleoside and Nucleotide Biosynthesis,2'-Deoxyribonucleotide Biosynthesis
PWY-6612,Biosynthesis,Cofactor  Prosthetic Group  Electron Carrier  and Vitamin Biosynthesis,Vitamin Biosynthesis
